KIND;OPR;STAT;AREA;CITY   ;CB   ;LAC; CID ; GSM ; DCS ; 3G L; 3G C ; 3G S ; DATE  ; ADDR                 ; REM                               ;  OZIN     ;  OZIE  ;LOCK
/;Витебск;;;;;;;;;;;;;;;
$;M;R;VI.; Витебск   ;          ; 43; 1422 ;    ;4568;246; 1003 ;1 34 6789;246; 2194 ;5678;18.04.18; Гражданская 2       ; общ. №2 ОАО ВЗРД "Монолит",труб-ки; 55.181705; 30.192926;G*
$;M;R;VI.; Витебск   ;          ;   ; 1422 ;    ;    ;246; 1006 ;1     7  ;   ;      ;    ;20.08.18; Гражданская 2       ; общ. №2 ОАО ВЗРД "Монолит",труб-ки; 55.181705; 30.192926;G*
$;M;R;VI.; Витебск   ;          ; 45; 1482 ;    ;56  ;240; 4218 ;1     789;   ;      ;    ;24.07.18; Баграмяна 5         ; опора освещения                     ; 55.171000; 30.266400;G          
$;M;R;VI.; Витебск   ;          ; 45; 1482 ;    ;48  ;240; 4223 ;1  4  7  ;   ;      ;    ;24.07.18; Баграмяна 5         ; опора освещения                     ; 55.171000; 30.266700;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 48; 1506 ;    ;4   ;240; 1894 ;1  4  7  ;   ;      ;    ;18.08.09; Чкалова 50А         ; магазин "Веста" N142, мачта         ; 55.160806; 30.212569;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 47; 1507 ;    ;4   ;245; 6017 ;123456789;   ;      ;    ;19.02.10; Терешковой 17А      ; авторынок, трубостойки              ; 55.185692; 30.251541;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 43; 1558 ;    ;4   ;246; 6018 ;1  4  7  ;   ;      ;    ;01.11.08; Титова 1        ;Полоцкий рынок,двухэтажное здание,труб-ка; 55.199110; 30.181342;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 87; 1559 ;    ;4   ;245; 1912 ;1  4  7  ;   ;      ;    ;01.11.08; Смоленская пл.      ; Смоленский рынок, трубостойка       ; 55.204720; 30.209050;G
$;M;R;VI.; Витебск   ;          ; 45; 1649 ;    ;4568;240; 1610 ;12345    ;240; 1285 ;0   ;12.08.18; пр.Черняховского 25 к.1 ; гостиница "Ветразь",трипод и труб-ка; 55.174518; 30.194851;G              
$;M;R;VI.; Витебск   ;          ;   ; 2292 ;    ;    ;245; 2163 ;123456789;   ;      ;    ;21.03.14; 5-я Фрунзе 7А       ; трамвайное депо, опора контактн.сети; 55.192080; 30.228673;G
$;M;R;VI.; Витебск   ; VITEBSK  ; 47; 2385 ;123 ;456 ;245; 6019 ;123456  9;245; 1133 ;89  ;08.11.08; Терешковой          ; склад около Эвикома, мачта          ; 55.191030; 30.254054;G
$;M;R;VI.; Витебск   ;          ;   ; 2385 ;    ;    ;245; 2167 ;       8 ;245; 1136 ;1   ;13.01.17; Терешковой          ; склад около Эвикома, мачта          ; 55.191030; 30.254054;G
