KIND;OPR;STAT;AREA;CITY          ; CB           ;LAC ; CID  ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ; DATE    ; ADDR                  ; REM                                                  ;  OZIN    ;  OZIE    ;LOCK
/;Минская область
//$;M;R  ;MIO; ?                   ;              ; хх ;  ххх ;х   ;    ;     ;      ;         ;   ;      ;    ;хх.08.18 ; ???                   ; 
$;M;R  ;MIO; Василевщина?        ;;;;;;;;;203; 1441 ;8   ;01.07.17; ???                   ; (???) - Березинский р-н?, Василевщина, 625? *питон*
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 1469 ;4   ;09.10.17; ???                   ; (493) - возле Воложина, 885?
$;M;R  ;MIO; ?                   ;;;;;;;;;216; 1469 ;5   ;30.04.18; ???                   ; (493) - за Ратомкой, 891?
$;M;R  ;MIO; ?                   ;;;;;;;;;203; 1643 ;6   ;15.03.18; ???                   ; (171) - около Пуховичи, 1401?
$;M;R  ;MIO; ?                   ;;;;;;;;;216; 1667 ;12  ;20.08.17; ???                   ; (215,367) - в Кривом Селе, МУНД-Есенина, 2103?
$;M;R  ;MIO; ?                   ;;;;;;;;;206; 1693 ;6   ;21.07.18; ???                   ; (400) - Михановичи? 2130?
$;M;R  ;MIO; Ратомка?            ;;;;;;;;;211; 1914 ;0   ;09.07.17; ???                   ; (???) - МУНД-Брикета, 2171?
$;M;R  ;MIO; Ждановичи?          ;;;;;;;;;200; 1916 ;3   ;13.05.17; ???                   ; (403) - МУНД-Дрозды, 2201?
$;M;R  ;MIO; Фаниполь?           ;;;;;;;;;216; 2440 ;2   ;06.06.17; ???                   ; (???) - Фаниполь, 2328? 
$;M;R  ;MIO; ?                   ;;;;;;;;;216; 2440 ;4   ;31.05.18; ???                   ; (186) - Большое Беляково? 2329?
$;M;R  ;MIO; Свислочь?           ;;;;;;;;;203; 2440 ;8   ;28.04.17; ???                   ; (060) - Свислочь, Равнополье, Рыбцы, 2334?
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 2450 ;4   ;05.06.17; ???                   ; (???) - Богданов? 2337? 
$;M;R  ;MIO; Зацень?             ;;;;;;;;;200; 2450 ;9   ;23.04.17; ???                   ; (428) - надуло в Новинках, 2340?
$;M;R  ;MIO; Ждановичи?          ;;;;;;;;;200; 2463 ;1   ;26.05.17; ???                   ; (???) - МУНД, Лазурный, 2341?
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 2467 ;8   ;17.01.18; ???                   ; (118) - nook2004 на М6, 2353? 
$;M;R  ;MIO; ?                   ;;;;;;;;;202; 2499 ;2   ;16.09.17; ???                   ; (???) - за Гостиловичами, 2359?
$;M;R  ;MIO; ?                   ;;;;;;;;;204; 2540 ;7   ;17.05.18; ???                   ; (282) - возле Волковичи, 4140?
$;M;R  ;MIO; ?                   ;;;;;;;;;210; 2542 ;8   ;26.01.18; ???                   ; (276) - возле Конютичи, 4305?
$;M;R  ;MIO; ?                   ;;;;;;;;;203; 2585 ;23  ;12.02.19; ???                   ; (106) - около 2348 по трассе Р92, 4417?
$;M;R  ;MIO; Марьина Горка?      ;;;;;;;;;203; 2585 ;7   ;15.03.18; ???                   ; (106) - в Марьиной Горке около БС 2442, 4421?
$;M;R  ;MIO; ?                   ;;;;;;;;;174; 2606 ;2   ;07.07.18; ???                   ; (049) - Смиловичи? 5493?
$;M;R  ;MIO; ?                   ;;;;;;;;;216; 2607 ;1   ;06.01.19; ???                   ; (131) - Воложинский р-н, 5910? 
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 2610 ;1   ;09.10.17; ???                   ; (873) - возле БС 873 в Писляковщине, 5973?
$;M;R  ;MIO; ?                   ;;;;;;;;;216; 5049 ;3   ;17.01.18; ???                   ; (017) - nook2004 на М6, Минский или Воложинский р-н, 5915.7?
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 5049 ;4   ;06.06.17; ???                   ; (303) - Фаниполь-Поповичи, 323?
$;M;R  ;MIO; ?                   ;;;;;;;;;201; 6241 ;46  ;01.10.16; ???                   ; (???) - ОГ-Дофаренция, ?
$;M;R  ;MIO; ?                   ;;;;;;;;;203; 6249 ;3   ;30.10.16; ???                   ; (???) - Гайненское шоссе 10, трипод? 5189?           ; 54.200690; 27.835600;*
$;M;R  ;MIO; ?                   ;;;;;;;;;202; 6249 ;4   ;23.05.18; ???                   ; (442) - хз кто где, вероятно 5189?
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 6250 ;9   ;15.05.16; ???                   ; (???) - Дайновка-Кибути, 5973?
$;M;R  ;MIO; ?                   ;;;;;;;;;216; 6251 ;1   ;15.05.16; ???                   ; (???) - Сульжицы-Раков, 5956?
$;M;R  ;MIO; ?                   ;;;;;;;;;216; 6252 ;5   ;27.12.16; ???                   ; (139) - около M6, 5910?
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 6252 ;6   ;29.08.16; ???                   ; (???) - Новоселье-Аксаковщина, 5910?
$;M;R  ;MIO; ?                   ;;;;;;;;;202; 6253 ;0   ;05.06.17; ???                   ; (???) - хз кто где, 5885? 
$;M;R  ;MIO; ?                   ;;;;;;;;;202; 6253 ;4   ;10.07.17; ???                   ; (???) - Молодечненский р-н, 5881?  *питон*
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 6268 ;0   ;15.05.16; ???                   ; (???) - около Писляковщины, 4449?
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 6268 ;1   ;27.12.16; ???                   ; (???) - около M7, 4449?
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 6268 ;9   ;27.12.16; ???                   ; (???) - около M7, 4445?
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 6269 ;0   ;29.08.16; ???                   ; (???) - Воложин-Цаюны, 4445?
$;M;R  ;MIO; ?                   ;;;;;;;;;203; 6274 ;1   ;20.05.16; ???                   ; (???) - около Смиловичи, 4421?
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 6280 ;24  ;05.06.17; ???                   ; (???) - хз кто где, 4373?
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 6281 ;4   ;05.06.17; ???                   ; (???) - хз кто где, 4308?
$;M;R  ;MIO; ?                   ;;;;;;;;;202; 6283 ;7   ;26.06.16; ???                   ; (338) - Логойский р-н? ловилась по М3 около Литвичи, 4194?
$;M;R  ;MIO; ?                   ;;;;;;;;;202; 6285 ;78  ;10.07.17; ???                   ; (???) - Молодечненский р-н, 2887? *питон*
$;M;R  ;MIO; ?                   ;;;;;;;;;203; 6296 ;0   ;05.04.16; ???                   ; (???) - Свислочь-Дружный-Руденск и около Нового Села, 2430?
$;M;R  ;MIO; ?                   ;;;;;;;;;172; 6306 ;4   ;11.09.16; ???                   ; (107) - Боровиковщина? 2387?
$;M;R  ;MIO; ?                   ;;;;;;;;;202; 6307 ;9   ;26.06.16; ???                   ; (???) - Логойский р-н? ловилась около Плещеницы, 2376?
$;M;R  ;MIO; ?                   ;;;;;;;;;202; 6308 ;3   ;05.04.16; ???                   ; (???) - надуло на М3 от Плещениц до Логойска, 2375?
$;M;R  ;MIO; ?                   ;;;;;;;;;202; 6308 ;4   ;30.10.16; ???                   ; (???) - около БС 2171, 2374?
